United States
28,Carnaval,Maluma,436794,https://open.spotify.com/track/1nO4EGuBjR75IGbFYzqPxO
29,"Solo Con Verte","Banda Sinaloense MS de Sergio Lizárraga",431332,https://open.spotify.com/track/1B1hZXrHPMMqjVFHnOljRk
30,Firestone,Kygo,425539,https://open.spotify.com/track/2sNvitW3TxiTeC9xT9f2ZZ
31,"Good For You","Selena Gomez",425471,https://open.spotify.com/track/6kBp8w67thoYqTUOQVSGFg
32,Sugar,"Maroon 5",419218,https://open.spotify.com/track/5eWgDlp3k6Tb5RD8690s6I
33,"La Mordidita","Ricky Martin",419105,https://open.spotify.com/track/00i0O74dXdaKKdCrqHnfXm
34,Perfect,"One Direction",402253,https://open.spotify.com/track/3NLnwwAQbbFKcEcV8hDItk
35,"Want To Want Me","Jason Derulo",395259,https://open.spotify.com/track/7oGZAicScQt96OAW4AruYy
36,"The Hills","The Weeknd",393727,https://open.spotify.com/track/25khomWgBVamSdKw7hzm3l
37,"Piénsalo (Inédita)","Banda Sinaloense MS de Sergio Lizárraga",392481,https://open.spotify.com/track/1zksuKe6zMJvv5QfNotC0U
38,"Drag Me Down","One Direction",390639,https://open.spotify.com/track/2K87XMYnUMqLcX3zvtAF4G
39,"Uptown Funk","Mark Ronson",385390,https://open.spotify.com/track/32OlwWuMpZ6b0aN2RZOeMS
40,"I'll Show You","Justin Bieber",380717,https://open.spotify.com/track/747eWJy8c3u09N30NSqSTp
41,"Thinking Out Loud","Ed Sheeran",374513,https://open.spotify.com/track/34gCuhDGsG4bRPIf9bb02f
42,"Pongámonos De Acuerdo","Julión Álvarez y su Norteño Banda",371976,https://open.spotify.com/track/3FhuPkzBM6VMLvc6rcer8v
43,"Marvin Gaye (feat. Meghan Trainor)","Charlie Puth",371113,https://open.spotify.com/track/6ukMqDxnOPOgoHdak7Kyp3
44,"Ya Te Perdí La Fe","La Arrolladora Banda El Limón De Rene Camacho",350608,https://open.spotify.com/track/0KHDthR0XvPoeJaqBc7Sg5
45,"Ay Vamos","J Balvin",340920,https://open.spotify.com/track/6Ges5C2IE738iJh4HyQizQ
46,Encantadora,Yandel,338486,https://open.spotify.com/track/7LABrQFfRYcZUqUwng0Heb
47,"Te Quiero Mucho Mucho","Río Roma",332757,https://open.spotify.com/track/3u8E9Ch4fKYScs2u0MMMfB
48,"Waiting For Love",Avicii,330265,https://open.spotify.com/track/6nsLzJfvp5OLd4mgqUJkpq
49,"Five More Hours - Deorro x Chris Brown",Deorro,317800,https://open.spotify.com/track/6YwLgicpvVuMt1eE2OldwQ
50,"Te Metiste","Ariel Camacho y Los Plebes Del Rancho",310720,https://open.spotify.com/track/0nNTCEOzFlBTlDCx5IfLWP
Brazil
1,Sorry,"Justin Bieber",1070592,https://open.spotify.com/track/69bp2EbF7Q2rqc5N3ylezZ
2,Hello,Adele,810287,https://open.spotify.com/track/0ENSn4fwAbCGeFGVUbXEU3
3,"What Do You Mean?","Justin Bieber",783610,https://open.spotify.com/track/3pzjHKrQSvXGHQ98dx18HI
4,"Hotline Bling",Drake,716111,https://open.spotify.com/track/6nmz4imkDcmtwMjocAzFSx
5,"Lean On (feat. MØ & DJ Snake)","Major Lazer",639497,https://open.spotify.com/track/4WjH9Bzt3kx7z8kl0awxh4
6,Bang,Anitta,596732,https://open.spotify.com/track/1Cml3fnCNLZUC1EEtkcgVb
7,"Aquele 1% - Ao Vivo","Marcos & Belutti",584061,https://open.spotify.com/track/62LiYpeFoJaixqkaNRGg47
8,"Love Yourself","Justin Bieber",577121,https://open.spotify.com/track/3hB5DgAiMAQ4DzYbsMq1IT
9,"How Deep Is Your Love","Calvin Harris",557481,https://open.spotify.com/track/22mek4IiqubGD9ctzxc69s
